roundIndex,deviceSlot,topic,title,imagePath,isSeenInGarden
1,1,Tema 1,Imagen 1-1,Check-Image.jpg,true
1,2,Tema 1,Imagen 1-2,Check-Image.jpg,true
1,3,Tema 1,Imagen 1-3,Cross-Image.jpg,false
1,4,Tema 1,Imagen 1-4,Cross-Image.jpg,false
1,5,Tema 1,Imagen 1-5,Cross-Image.jpg,false
1,6,Tema 1,Imagen 1-6,Cross-Image.jpg,false
2,1,Tema 2,Imagen 2-1,Cross-Image.jpg,false
2,2,Tema 2,Imagen 2-2,Cross-Image.jpg,false
2,3,Tema 2,Imagen 2-3,Cross-Image.jpg,false
2,4,Tema 2,Imagen 2-4,Cross-Image.jpg,false
2,5,Tema 2,Imagen 2-5,Cross-Image.jpg,false
2,6,Tema 2,Imagen 2-6,Cross-Image.jpg,false
3,1,Tema 3,Imagen 3-1,Cross-Image.jpg,false
3,2,Tema 3,Imagen 3-2,Cross-Image.jpg,false
3,3,Tema 3,Imagen 3-3,Cross-Image.jpg,false
3,4,Tema 3,Imagen 3-4,Cross-Image.jpg,false
3,5,Tema 3,Imagen 3-5,Cross-Image.jpg,false
3,6,Tema 3,Imagen 3-6,Cross-Image.jpg,false
4,1,Tema 4,Imagen 4-1,Cross-Image.jpg,false
4,2,Tema 4,Imagen 4-2,Cross-Image.jpg,false
4,3,Tema 4,Imagen 4-3,Cross-Image.jpg,false
4,4,Tema 4,Imagen 4-4,Cross-Image.jpg,false
4,5,Tema 4,Imagen 4-5,Cross-Image.jpg,false
4,6,Tema 4,Imagen 4-6,Cross-Image.jpg,false
5,1,Tema 5,Imagen 5-1,Cross-Image.jpg,false
5,2,Tema 5,Imagen 5-2,Cross-Image.jpg,false
5,3,Tema 5,Imagen 5-3,Cross-Image.jpg,false
5,4,Tema 5,Imagen 5-4,Cross-Image.jpg,false
5,5,Tema 5,Imagen 5-5,Cross-Image.jpg,false
5,6,Tema 5,Imagen 5-6,Cross-Image.jpg,false
